date,avg_temperature,max_temperature,min_temperature,total_rainfall,sunshine_hours,avg_humidity
2024-04-01,14.6,19.7,11.8,3.0,3.8,73
2024-04-02,14.2,20.6,8.4,0.0,10.6,50
2024-04-03,13.9,16.6,12.3,11.5,0.0,83
2024-04-04,15.4,19.9,11.3,4.0,0.1,79
2024-04-05,11.4,15.1,9.0,0.5,0.0,71
2024-04-06,12.7,15.8,9.0,0.0,0.0,81
2024-04-07,17.0,22.6,13.1,1.5,8.2,83
2024-04-08,18.8,23.2,15.4,0.0,2.3,85
2024-04-09,15.6,19.8,9.7,55.5,0.0,78
2024-04-10,11.7,17.8,7.4,0.0,11.9,47
2024-04-11,14.0,19.8,7.7,0.0,9.3,62
2024-04-12,15.0,18.2,12.8,2.5,1.8,73
2024-04-13,16.4,22.7,11.1,0.0,10.5,68
2024-04-14,18.0,24.8,12.7,0.0,11.5,66
2024-04-15,19.4,26.8,14.0,0.0,11.4,65
2024-04-16,19.2,23.4,15.9,0.0,6.5,66
2024-04-17,20.1,25.5,16.5,0.0,5.5,70
2024-04-18,17.9,21.4,14.3,1.5,0.3,67
2024-04-19,18.3,23.6,14.1,0.0,11.6,46
2024-04-20,19.4,26.1,12.7,0.0,8.9,48
2024-04-21,18.4,23.3,14.9,5.0,2.2,67
2024-04-22,15.6,18.6,13.2,7.0,0.1,89
2024-04-23,16.9,19.4,14.8,0.0,0.5,82
2024-04-24,15.0,16.5,13.9,20.5,0.0,94
2024-04-25,19.5,25.8,13.8,0.5,9.8,78
2024-04-26,20.3,25.1,15.1,0.0,2.5,72
2024-04-27,19.5,23.2,16.6,0.0,0.0,84
2024-04-28,21.6,28.2,15.7,0.0,11.5,71
2024-04-29,21.2,25.8,17.4,0.0,8.0,80
2024-04-30,20.9,25.2,18.2,2.5,1.5,84
2024-05-01,16.5,21.2,11.8,26.5,0.0,92
2024-05-02,15.3,21.7,10.8,3.0,7.7,70
2024-05-03,17.7,24.2,11.4,0.0,12.4,63
2024-05-04,20.9,27.8,14.8,0.0,12.4,57
2024-05-05,21.5,27.7,15.4,0.0,12.6,65
2024-05-06,20.9,23.6,19.1,0.0,0.9,68
2024-05-07,20.0,22.2,18.6,5.0,0.0,88
2024-05-08,17.8,23.8,11.4,8.0,1.3,83
2024-05-09,13.7,18.9,10.2,1.5,5.8,70
2024-05-10,17.5,24.4,8.7,0.0,12.8,50
2024-05-11,20.3,25.9,14.1,0.0,13.0,61
2024-05-12,21.1,24.8,17.3,0.0,3.7,65
2024-05-13,19.3,22.0,15.4,58.5,0.0,96
2024-05-14,16.9,21.6,12.2,0.0,8.2,71
2024-05-15,19.4,25.7,13.8,1.5,8.6,76
2024-05-16,18.7,25.1,14.7,10.0,5.1,79
2024-05-17,20.6,27.2,13.4,0.0,12.9,50
2024-05-18,21.9,28.8,16.2,0.0,12.5,59
2024-05-19,20.8,24.1,17.7,0.0,0.0,75
2024-05-20,17.4,21.4,14.4,34.0,0.8,92
2024-05-21,22.5,28.9,16.9,0.0,7.9,74
2024-05-22,20.6,25.3,18.0,0.0,6.5,61
2024-05-23,21.4,25.2,18.1,0.0,1.8,75
2024-05-24,23.3,29.0,18.1,0.0,9.3,67
2024-05-25,21.4,25.8,18.3,0.0,6.7,52
2024-05-26,21.6,26.6,17.6,0.0,8.7,63
2024-05-27,22.3,25.1,20.3,0.0,0.4,84
2024-05-28,24.0,25.9,22.4,19.0,0.1,91
2024-05-29,22.0,25.8,18.8,0.5,7.9,71
2024-05-30,22.5,27.3,17.5,0.0,5.4,73
2024-05-31,19.0,21.7,16.6,34.0,0.1,90
2024-06-01,20.9,26.3,17.4,0.0,7.0,75
2024-06-02,18.7,24.6,16.2,45.5,2.9,88
2024-06-03,18.3,24.3,15.0,25.5,2.4,88
2024-06-04,19.5,25.5,14.8,0.0,7.8,75
2024-06-05,21.4,27.4,16.4,0.0,11.9,64
2024-06-06,22.0,27.0,18.1,0.0,3.8,72
2024-06-07,22.1,26.7,18.1,0.0,5.1,67
2024-06-08,22.8,28.2,17.4,0.0,11.8,66
2024-06-09,22.4,25.7,19.9,0.5,0.2,76
2024-06-10,20.7,24.7,17.4,17.0,0.7,85
2024-06-11,24.0,29.0,19.5,0.0,12.8,73
2024-06-12,24.6,30.1,20.0,0.0,10.4,74
2024-06-13,22.6,25.4,20.0,0.0,1.6,81
2024-06-14,25.9,31.7,19.5,0.0,12.7,67
2024-06-15,24.8,29.9,20.9,0.5,8.0,75
2024-06-16,23.7,28.7,19.7,5.5,6.8,86
2024-06-17,26.0,30.5,22.5,0.0,4.6,75
2024-06-18,19.2,22.5,18.0,98.0,0.0,100
2024-06-19,23.5,29.5,17.2,0.0,13.3,72
2024-06-20,24.4,28.4,20.8,0.0,6.2,75
2024-06-21,20.1,23.3,17.3,44.0,0.0,94
2024-06-22,23.9,30.0,16.8,0.0,8.5,67
2024-06-23,21.6,24.2,20.0,29.5,0.1,95
2024-06-24,26.7,33.4,21.0,0.0,6.5,81
2024-06-25,27.8,31.8,24.5,0.0,1.3,76
2024-06-26,26.9,31.4,24.6,0.0,2.4,73
2024-06-27,25.4,29.8,23.0,0.0,5.1,70
2024-06-28,22.0,23.8,20.0,82.5,0.0,98
2024-06-29,23.7,29.0,20.7,0.0,3.8,87
2024-06-30,25.9,29.0,22.8,1.5,0.4,84
2024-07-01,26.3,29.4,24.6,12.5,0.1,89
2024-07-02,27.3,31.4,24.1,0.0,2.2,80
2024-07-03,27.7,33.3,23.6,0.0,7.2,77
2024-07-04,29.3,35.0,25.0,0.0,9.1,75
2024-07-05,30.2,35.5,26.2,0.0,13.2,70
2024-07-06,28.1,34.2,23.9,36.0,7.5,84
2024-07-07,28.9,34.4,24.2,0.0,9.9,84
2024-07-08,30.9,36.0,26.1,0.0,11.3,73
2024-07-09,30.1,34.5,26.2,0.0,6.4,72
2024-07-10,29.5,33.7,26.6,0.0,4.3,70
2024-07-11,27.8,29.6,26.1,0.5,0.0,77
2024-07-12,24.4,26.9,22.4,13.5,0.0,93
